"","diff","lwr","upr","padj","sign"
"S2-S1",5.94533977289089,2.01533659587447,9.87534294990731,5.92422802925263e-06,"*"
"S3-S1",0.768764005927115,-3.16123917108931,4.69876718294354,0.999999999994859,""
"S4-S1",-3.46798664501626,-7.39798982203268,0.462016532000162,0.190388530686383,""
"S5-S1",1.28988646866722,-2.6401167083492,5.21988964568364,0.999997550837695,""
"S6-S1",-3.41264710343361,-7.34265028045003,0.51735607358281,0.218066676664017,""
"S7-S1",53.7790675239624,49.8490643469459,57.7090707009788,0,"*"
"S8-S1",1.79599506527224,-2.13400811174418,5.72599824228866,0.998172044155282,""
"S9-S1",0.521806718919028,-3.40819645809739,4.45180989593545,1,""
"S10-S1",-3.5521643957434,-7.48216757275982,0.377838781273023,0.153248620816148,""
"S11-S1",-2.24881239052754,-6.17881556754396,1.68119078648889,0.952841811874787,""
"S12-S1",-2.56864674036727,-6.49864991738369,1.36135643664915,0.818725834163664,""
"S13-S1",-2.55653679487163,-6.48653997188805,1.37346638214479,0.825871249543813,""
"S14-S1",-3.29269985322335,-7.22270303023977,0.637303323793076,0.287001400257939,""
"S15-S1",-3.56823810796199,-7.49824128497841,0.361765069054429,0.146820191630545,""
"S16-S1",-1.25277211853032,-5.18277529554674,2.67723105848611,0.999998740476119,""
"S17-S1",-3.03579547355802,-6.96579865057444,0.894207703458398,0.470330377786154,""
"S18-S1",-2.35424781438104,-6.28425099139746,1.57575536263538,0.921137848489787,""
"S19-S1",-3.20734710873117,-7.13735028574759,0.722656068285251,0.343149826755245,""
"S20-S1",-3.14137483666606,-7.07137801368248,0.788628340350363,0.390110999832183,""
"S21-S1",-3.16262894731716,-7.09263212433358,0.767374229699266,0.37467450544719,""
"S22-S1",-3.59110930538088,-7.52111248239731,0.338893871635536,0.138029027302693,""
"S23-S1",-3.59110930538087,-7.52111248239729,0.33889387163555,0.138029027302697,""
"S24-S1",-3.42739680899953,-7.35739998601595,0.502606368016896,0.210433507704065,""
"S25-S1",-3.15320177494418,-7.0832049519606,0.776801402072241,0.381487110322598,""
"S26-S1",-3.56112198336219,-7.49112516037861,0.36888119365423,0.149640494488023,""
"S27-S1",-3.59110930538091,-7.52111248239733,0.338893871635508,0.138029027302683,""
"S28-S1",-3.37778348022713,-7.30778665724356,0.552219696789286,0.236849538497997,""
"S29-S1",-3.59110930538097,-7.52111248239739,0.338893871635454,0.138029027302662,""
"S30-S1",-3.1282991176996,-7.05830229471602,0.801704059316824,0.399741610838877,""
