"","diff","lwr","upr","padj","sign"
"S2-S1",5.39101141878129,-0.660023294164408,11.442046131727,0.174346342581419,""
"S3-S1",2.27461148434468,-3.77642322860102,8.32564619729037,0.9999514391558,""
"S4-S1",-2.91826185151135,-8.96929656445704,3.13277286143434,0.995427843513772,""
"S5-S1",2.25930564375495,-3.79172906919074,8.31034035670064,0.999957734735047,""
"S6-S1",-2.79983523252428,-8.85086994546998,3.25119948042141,0.997661253677556,""
"S7-S1",49.1482372469816,43.0972025340359,55.1992719599273,0,"*"
"S8-S1",4.28254808741377,-1.76848662553192,10.3335828003595,0.669322352535658,""
"S9-S1",0.886121313044566,-5.16491339990113,6.93715602599026,1,""
"S10-S1",-3.13787183864965,-9.18890655159534,2.91316287429604,0.986502636608201,""
"S11-S1",-1.48233109410343,-7.53336580704912,4.56870361884227,0.999999997802199,""
"S12-S1",-2.32166362999019,-8.37269834293588,3.72937108295551,0.999926350964832,""
"S13-S1",-1.87367599632186,-7.92471070926756,4.17735871662383,0.999999312198724,""
"S14-S1",-2.61685556832409,-8.66789028126979,3.4341791446216,0.999274535800923,""
"S15-S1",-3.18174434469387,-9.23277905763956,2.86929036825182,0.983623257631275,""
"S16-S1",-1.02299954225269,-7.07403425519838,5.02803517069301,1,""
"S17-S1",-2.18376351336225,-8.23479822630795,3.86727119958344,0.999979229752465,""
"S18-S1",-1.26504771189335,-7.31608242483905,4.78598700105234,0.999999999965639,""
"S19-S1",-2.63895696105501,-8.6899916740007,3.41207775189068,0.999156567434045,""
"S20-S1",-2.38998351429897,-8.44101822724466,3.66105119864673,0.999868739594182,""
"S21-S1",-2.67660686652369,-8.72764157946938,3.37442784642201,0.998916341239973,""
"S22-S1",-3.18174434469378,-9.23277905763948,2.86929036825191,0.983623257631281,""
"S23-S1",-3.18174434469377,-9.23277905763946,2.86929036825193,0.983623257631282,""
"S24-S1",-2.84124289266593,-8.89227760561162,3.20979182027977,0.997021576413061,""
"S25-S1",-3.0580501740528,-9.10908488699849,2.9929845388929,0.990683744717195,""
"S26-S1",-3.11893149786872,-9.16996621081441,2.93210321507698,0.987611519169391,""
"S27-S1",-3.18174434469377,-9.23277905763947,2.86929036825192,0.983623257631282,""
"S28-S1",-2.84350538915847,-8.89454010210416,3.20752932378723,0.996982670864057,""
"S29-S1",-3.18174434469376,-9.23277905763946,2.86929036825193,0.983623257631282,""
"S30-S1",-2.59586053710989,-8.64689525005559,3.4551741758358,0.9993728373887,""
"unk-S1",-3.18174434469377,-9.23277905763947,2.86929036825192,0.983623257631282,""
"S3-S2",-3.11639993443661,-9.1674346473823,2.93463477850909,0.987753936669455,""
"S4-S2",-8.30927327029264,-14.3603079832383,-2.25823855734694,0.000110786082873071,"*"
"S5-S2",-3.13170577502634,-9.18274048797203,2.91932893791936,0.986872146151936,""
"S6-S2",-8.19084665130557,-14.2418813642513,-2.13981193835987,0.000161857722088876,"*"
"S7-S2",43.7572258282003,37.7061911152546,49.808260541146,0,"*"
"S8-S2",-1.10846333136751,-7.15949804431321,4.94257138157818,0.99999999999929,""
"S9-S2",-4.50489010573672,-10.5559248186824,1.54614460720897,0.555465721016568,""
"S10-S2",-8.52888325743094,-14.5799179703766,-2.47784854448524,5.40215034455782e-05,"*"
"S11-S2",-6.87334251288471,-12.9243772258304,-0.822307799939018,0.00724551808902674,"*"
"S12-S2",-7.71267504877147,-13.7637097617172,-1.66164033582578,0.000704305990747112,"*"
"S13-S2",-7.26468741510315,-13.3157221280488,-1.21365270215745,0.00254775269438345,"*"
"S14-S2",-8.00786698710538,-14.0589017000511,-1.95683227415968,0.000287429970506126,"*"
"S15-S2",-8.57275576347516,-14.6237904764209,-2.52172105052946,4.66917423526114e-05,"*"
"S16-S2",-6.41401096103397,-12.4650456739797,-0.36297624808828,0.0223400547601086,"*"
"S17-S2",-7.57477493214354,-13.6258096450892,-1.52374021919784,0.00105654152822843,"*"
"S18-S2",-6.65605913067464,-12.7070938436203,-0.605024417728944,0.012518023475927,"*"
"S19-S2",-8.0299683798363,-14.081003092782,-1.9789336668906,0.000268370017894259,"*"
"S20-S2",-7.78099493308025,-13.8320296460259,-1.72996022013456,0.000574306109385581,"*"
"S21-S2",-8.06761828530497,-14.1186529982507,-2.01658357235928,0.000238652268440553,"*"
"S22-S2",-8.57275576347507,-14.6237904764208,-2.52172105052937,4.66917423518343e-05,"*"
"S23-S2",-8.57275576347505,-14.6237904764207,-2.52172105052936,4.66917423519453e-05,"*"
"S24-S2",-8.23225431144721,-14.2832890243929,-2.18121959850152,0.000141857045453553,"*"
"S25-S2",-8.44906159283408,-14.5000963057798,-2.39802687988839,7.02945846112746e-05,"*"
"S26-S2",-8.50994291665,-14.5609776295957,-2.45890820370431,5.75177686569228e-05,"*"
"S27-S2",-8.57275576347506,-14.6237904764208,-2.52172105052937,4.66917423520563e-05,"*"
"S28-S2",-8.23451680793975,-14.2855515208854,-2.18348209499406,0.000140835493185554,"*"
"S29-S2",-8.57275576347505,-14.6237904764207,-2.52172105052936,4.66917423519453e-05,"*"
"S30-S2",-7.98687195589118,-14.0379066688369,-1.93583724294548,0.000306729002201855,"*"
"unk-S2",-8.57275576347506,-14.6237904764208,-2.52172105052936,4.66917423520563e-05,"*"
"S4-S3",-5.19287333585603,-11.2439080488017,0.858161377089666,0.238726014735773,""
"S5-S3",-0.0153058405897291,-6.06634055353542,6.03572887235597,1,""
"S6-S3",-5.07444671686896,-11.1254814298147,0.976587996076733,0.283890633456636,""
"S7-S3",46.8736257626369,40.8225910496912,52.9246604755826,0,"*"
"S8-S3",2.0079366030691,-4.0430981098766,8.05897131601479,0.999996661669387,""
