"","Signature","t","df","pval","padj"
"1","S1",-1.85172179349644,41.6341108479608,0.071166388510374,0.48543247214443
"2","S2",-0.404999779519173,87.3047936030285,0.686468326366858,0.717671432110806
"3","S3",-1.40992371775446,30,0.168846077267628,0.48543247214443
"4","S4",-0.807052886406718,31.9600297249532,0.425601592976564,0.560755098953647
"5","S5",1,67,0.320908502072262,0.498806543653246
"6","S6",-1.63479603861973,30.3686608350286,0.112416934533234,0.48543247214443
"7","S7",2.26886476616101,43.6465799341302,0.0282750963993465,0.48543247214443
"8","S10",1.18345663725137,69.333913210721,0.240670082545819,0.498806543653246
"9","S11",0.777356679128269,96.4028404026189,0.438851816572419,0.560755098953647
"10","S13",-1.41834061491171,30,0.166396573210804,0.48543247214443
"11","S15",1.11187209901915,87.3418459549296,0.269244301006732,0.498806543653246
"12","S16",-1,30,0.32530861542603,0.498806543653246
"13","S17",-1.05560676655418,33.2484476174653,0.298758328219798,0.498806543653246
"14","S18",1.15999108421967,67,0.250169402793833,0.498806543653246
"15","S20",-1.57187384184576,30.3063398028145,0.126362946811789,0.48543247214443
"16","S21",-0.468742005907201,91.243247147663,0.640372048177074,0.701359862289176
"17","S23",1.08466911666873,67,0.281955841873963,0.498806543653246
"18","S24",0.277394764299271,95.7543207422715,0.782074996047274,0.782074996047274
"19","S25",1.47581406285144,67,0.144678245754602,0.48543247214443
"20","S27",NA,NA,NA,NA
"21","S28",-0.708545814214183,34.3413806048884,0.483388642388577,0.575359043125633
"22","S29",-0.681029113303312,35.1745554264393,0.500312211413594,0.575359043125633
"23","S30",1.41490426339197,67,0.161727583881153,0.48543247214443
"24","unknown",0.924906672529567,70.8457127865937,0.358154237259844,0.514846716061025
