"","gene","S4_cor","S4_p","S4_padj","S4_sign","S7_cor","S7_p","S7_padj","S7_sign","S11_cor","S11_p","S11_padj","S11_sign","S21_cor","S21_p","S21_padj","S21_sign","S22_cor","S22_p","S22_padj","S22_sign","S24_cor","S24_p","S24_padj","S24_sign","S29_cor","S29_p","S29_padj","S29_sign"
"1","CDK7",-0.0584597937811836,0.266603878418786,0.753445743357439,"",-0.0723968755913784,0.168699348353518,0.450300198797802,"",0.0047631983647259,0.927938660045604,0.941670608273325,"",0.00276994051552702,0.958056563532227,0.982619390211348,"",0.0225969747514394,0.667850384663304,0.985503083142924,"",0.00778222071845669,0.882530544924364,0.961742310952922,"",0.00274221092674236,0.958476075329028,0.980134710779323,""
"2","CETN2",0.0475637574969638,0.366208983399822,0.828420653976937,"",-0.04146000156984,0.430969701786042,0.707575608181509,"",-0.00955049057778224,0.856102409150297,0.937487907354968,"",0.00572281428186051,0.913472893328207,0.982619390211348,"",0.00527476486160069,0.92022377307467,0.985503083142924,"",0.0391663812745938,0.456917875778998,0.80608543939949,"",0.108807104018286,0.0382599108111316,0.621723550680889,""
"3","CUL3",-0.0668519093723955,0.203825105057955,0.753445743357439,"",0.113970652647173,0.0299295201312092,0.277171618911783,"",-0.0333811536034424,0.526094165075424,0.737842597599282,"",-0.0168490391852238,0.749019244573997,0.982619390211348,"",-0.00437118361291354,0.933855205531456,0.985503083142924,"",0.0494184319594474,0.347795461657974,0.798498602175891,"",0.0192969867911932,0.714049420534295,0.928264246694583,""
"4","CUL4A",-0.0114279724055717,0.82821750475316,0.961737833691942,"",-0.0180870550465454,0.731264283280469,0.834329563784738,"",-0.0968489274564163,0.0653011616170542,0.527435707194931,"",0.00205950355989105,0.968807854724921,0.982619390211348,"",-0.0423991498268918,0.420595589378302,0.985503083142924,"",0.0812932602670547,0.122089467986846,0.798498602175891,"",-0.0160181237221779,0.761011196722515,0.969916231116931,""
"5","CUL5",-0.0514719875342879,0.328104437342485,0.789881052861537,"",0.111242708013414,0.0341134300199117,0.277171618911783,"",-0.0327847453305074,0.533516955187173,0.737842597599282,"",-0.0296738917693073,0.573068763170657,0.982619390211348,"",-0.0633960520378454,0.228240570061071,0.985503083142924,"",-0.0392445177538421,0.456019762448908,0.80608543939949,"",0.0611446514466554,0.245222599669196,0.787793946343943,""
"6","DDB1",0.0590281905443397,0.261974046026041,0.753445743357439,"",-0.0499586841635029,0.342543979400536,0.674707838213177,"",0.023580439893257,0.654311641767843,0.808809971365418,"",-0.141312066290995,0.00700481706984125,0.455313109539681,"",0.103755862519404,0.0482306063023374,0.985503083142924,"",-0.0936186371324044,0.0748410936051857,0.798498602175891,"",-0.0538334767710628,0.306369387144392,0.787793946343943,""
"7","DDB2",-0.00497928614577665,0.924678994985718,0.961737833691942,"",0.0136276383202349,0.795822045456211,0.834329563784738,"",0.114740868303928,0.0288308992111767,0.527435707194931,"",-0.0419102029948949,0.425978310464067,0.982619390211348,"",-0.0817457174454377,0.120018405167981,0.985503083142924,"",-0.0733183729379915,0.163329253970841,0.798498602175891,"",0.0639707766256639,0.224042450407336,0.787793946343943,""
"8","ERCC1",-0.00462340672930972,0.930048049667997,0.961737833691942,"",-0.0272686253957972,0.604568849207622,0.785939503969909,"",0.0534767774214188,0.309590059815572,0.609798602667035,"",-0.00855837046090916,0.870912566006245,0.982619390211348,"",0.000247008838140793,0.996257999748896,0.996257999748896,"",0.0259569639403778,0.622066317799981,0.860304482063803,"",-0.00673721278772595,0.898212379788214,0.980134710779323,""
"9","ERCC2",0.0976439453432702,0.0631131310603208,0.406271266750991,"",-0.104158930051651,0.0473622290406023,0.291240232813455,"",-0.0503131575235184,0.339125924234627,0.630056705411922,"",-0.0195180144693577,0.710919944702889,0.982619390211348,"",0.0581094399270397,0.26948542442994,0.985503083142924,"",0.0894541863237616,0.0887804354233918,0.798498602175891,"",-0.0834557739908691,0.112437437455001,0.787793946343943,""
"10","ERCC3",-0.115206737886108,0.0281833177669139,0.406271266750991,"",0.0977859752190156,0.0627286655290518,0.291240232813455,"",-0.0140184666280774,0.790100926017627,0.917081431984745,"",-0.0313361589437985,0.551762581272829,0.982619390211348,"",0.0141439623469768,0.788266234499478,0.985503083142924,"",-0.00149652941185922,0.97733164695337,0.985772046131962,"",0.0227210923855242,0.666135673340666,0.922758543785728,""
"11","ERCC4",-0.00350492058229357,0.946941867019758,0.961737833691942,"",0.0943151215019096,0.0726936506349008,0.315005819417903,"",-0.0443850285371595,0.399146054979766,0.701202529018508,"",-0.0225094288274501,0.669060889976198,0.982619390211348,"",-0.0425847860239501,0.418562419296115,0.985503083142924,"",-0.0426658672951054,0.417676191907389,0.798498602175891,"",0.0559635657527243,0.287598225587404,0.787793946343943,""
"12","ERCC5",-0.0964406637835977,0.0664487598697072,0.406271266750991,"",0.11281091933,0.0316512650197823,0.277171618911783,"",0.00796472393196133,0.879796343825431,0.937487907354968,"",-0.0391604762802467,0.456985788936161,0.982619390211348,"",-0.0477938390859519,0.36389234404933,0.985503083142924,"",0.0242467768627801,0.645202197641606,0.873711309306341,"",0.0557261304338501,0.289651474348604,0.787793946343943,""
"13","ERCC6",-0.0336123135380794,0.52323138986361,0.877172814451441,"",0.111899484468734,0.0330630972937385,0.277171618911783,"",-0.0679515276587965,0.196468454921328,0.588529818591137,"",0.00562920939733292,0.914882765724005,0.982619390211348,"",-0.00524926185600608,0.920608210565467,0.985503083142924,"",0.0135524789102406,0.796923527088047,0.90877244317058,"",0.00100782824439736,0.984733023500419,0.984733023500419,""
"14","ERCC8",-0.0184325025660837,0.726335066017021,0.926157449576238,"",-0.0174608414983257,0.740227872067993,0.834329563784738,"",-0.0909100064951679,0.0836878890957916,0.527435707194931,"",-0.00674058706904245,0.898161676757453,0.982619390211348,"",0.0574423475007576,0.275030702609426,0.985503083142924,"",0.0590326168331742,0.261938210467941,0.798498602175891,"",0.0438428739429758,0.40493583931228,0.797482089387491,""
"15","GADD45A",0.0236380376351433,0.653522174853454,0.926157449576238,"",0.0238814055898741,0.650190707354113,0.828674430941516,"",0.0835254819887746,0.112136575674133,0.527435707194931,"",-0.0780790356165779,0.137612152116869,0.982619390211348,"",0.0246077865735537,0.640288803606992,0.985503083142924,"",-0.0749568214948843,0.154099595600341,0.798498602175891,"",0.133804164367031,0.0107105129413328,0.348091670593316,""
"16","GADD45G",-0.0938259730684588,0.0750039261694137,0.406271266750991,"",0.030874584151142,0.558734626591047,0.780009384570851,"",0.00386445595934427,0.941670608273325,0.941670608273325,"",-0.0126921476451637,0.810078980018204,0.982619390211348,"",0.0459279533851963,0.384265471223392,0.985503083142924,"",0.0599255651490367,0.256099794338895,0.798498602175891,"",0.0141245210358604,0.789123850900776,0.980134710779323,""
"17","GTF2H1",-0.0290361869430757,0.581344483871489,0.926157449576238,"",0.115836028107788,0.0273284203660573,0.277171618911783,"",-0.0622813886577389,0.236541102855554,0.588529818591137,"",-0.0635322341747377,0.227240808420835,0.982619390211348,"",-0.0369485500348962,0.482818792949469,0.985503083142924,"",-0.051253163297028,0.330167726537666,0.798498602175891,"",-0.0232029218337423,0.659495618608483,0.922758543785728,""
"18","GTF2H2",-0.0940445290962881,0.07352191465148,0.406271266750991,"",0.0760861127689024,0.147971659896285,0.450300198797802,"",-0.00409790105335041,0.937981939503497,0.941670608273325,"",-0.0742317041344138,0.158134406822481,0.982619390211348,"",0.0621834484851758,0.237280460264078,0.985503083142924,"",-0.0142840166928394,0.786220083038879,0.90877244317058,"",0.0197867182004684,0.707121965167679,0.928264246694583,""
"19","GTF2H3",-0.0185083196358523,0.725254726619625,0.926157449576238,"",0.0848351848605575,0.1066005816883,0.384946544985529,"",-0.0907307469815326,0.0843019373382455,0.527435707194931,"",-0.0046873151067518,0.929083640873053,0.982619390211348,"",0.00318866770136549,0.95172325028594,0.985503083142924,"",-0.000939231103248895,0.985772046131962,0.985772046131962,"",0.00837737019342208,0.873619526404447,0.980134710779323,""
"20","GTF2H4",0.094210174085689,0.0730139797914686,0.406271266750991,"",-0.0829089833788831,0.114819435818102,0.39280333306193,"",-0.0565797128292971,0.282315732274583,0.588529818591137,"",0.0605571295908691,0.249795845595614,0.982619390211348,"",0.026651599598768,0.61277258674203,0.985503083142924,"",-0.0374844632642698,0.476488301891134,0.815045779550624,"",-0.0206453041227284,0.69503529948029,0.928264246694583,""
"21","GTF2H5",0.0521761068932036,0.321521967615145,0.789881052861537,"",0.0151173846251957,0.774075667546144,0.834329563784738,"",0.00674416852707262,0.89810786107604,0.94156469306359,"",-0.0378329659771563,0.472396026383031,0.982619390211348,"",-0.031791772285399,0.545991149256661,0.985503083142924,"",-0.0529073721500996,0.31477726858632,0.798498602175891,"",-0.00426576817053566,0.935446839642572,0.980134710779323,""
"22","LIG1",0.0126095155328378,0.810776466795989,0.961737833691942,"",-0.040094247209125,0.446316922083721,0.707575608181509,"",-0.011741423574015,0.823581974666047,0.937487907354968,"",-0.0381478840737629,0.468714758686159,0.982619390211348,"",0.0361564575424901,0.492258126468759,0.985503083142924,"",0.0580522189828872,0.269958062194338,0.798498602175891,"",-0.097076769431363,0.0646678238732521,0.787793946343943,""
"23","LIG3",0.182451440856302,0.000476651775545552,0.0309823654104609,"*",-0.098950382470749,0.0596488655413528,0.291240232813455,"",-0.102371194007114,0.0513158603629751,0.527435707194931,"",0.0547423976152095,0.298262948840569,0.982619390211348,"",0.00613263323065179,0.907303469472714,0.985503083142924,"",0.0355724284704779,0.499280602417902,0.832134337363171,"",-0.045768634572961,0.384596802699186,0.797482089387491,""
"24","MNAT1",-0.0436445297651067,0.407066429634509,0.828420653976937,"",0.0778546283690368,0.138750051381628,0.450300198797802,"",-0.0973996555289842,0.0637789433966366,0.527435707194931,"",0.00806648954053799,0.878272343526661,0.982619390211348,"",0.016709266628447,0.751032337948705,0.985503083142924,"",-0.0286684465841229,0.586141947816659,0.860304482063803,"",0.0119217182833785,0.820918416478749,0.980134710779323,""
"25","PCNA",-0.0563005116697256,0.284701271215808,0.771065942876147,"",0.0751042417796042,0.153288911708355,0.450300198797802,"",-0.0232032425670194,0.659491207421034,0.808809971365418,"",-0.0796727109699074,0.129736192992585,0.982619390211348,"",-0.0146757161655028,0.780505316133459,0.985503083142924,"",0.0176282677223866,0.737827841187468,0.888126105133063,"",-0.0479398872527082,0.362426564243646,0.787793946343943,""
"26","POLD1",-0.00658471460175495,0.90050429515984,0.961737833691942,"",-0.108615356840658,0.0386037400555263,0.278804789289912,"",-0.0393711031163898,0.454566870587842,0.71074221302143,"",0.0311081447080442,0.554662090108387,0.982619390211348,"",0.0606082541551116,0.249395552864096,0.985503083142924,"",0.090226749271977,0.0860478399741501,0.798498602175891,"",-0.0891019030840159,0.0900493848763051,0.787793946343943,""
"27","POLD2",0.0206050448193394,0.695600353336999,0.926157449576238,"",0.0065676177789345,0.900761297433198,0.900761297433198,"",0.0317474169650458,0.546551703284534,0.740122098197807,"",-0.00697781676831721,0.894598036967636,0.982619390211348,"",-0.0571435427846309,0.277539530604352,0.985503083142924,"",0.00720277536955044,0.891220686993766,0.961742310952922,"",-0.0893466537376929,0.0891662447931745,0.787793946343943,""
"28","POLD3",0.0266803772866441,0.612388882480161,0.926157449576238,"",0.0190638524352373,0.717355509497073,0.834329563784738,"",-0.0799263194441422,0.128515659016249,0.527435707194931,"",-0.0659448149302506,0.210042398568794,0.982619390211348,"",0.0561658016924139,0.285857097563847,0.985503083142924,"",-0.0268865416481658,0.60964311156174,0.860304482063803,"",-0.00439668041032727,0.933470276828068,0.980134710779323,""
"29","POLD4",0.00635932257283004,0.903893249560856,0.961737833691942,"",-0.0538002747964562,0.306668234276094,0.622919850873317,"",0.0870947217085283,0.0975591581918663,0.527435707194931,"",0.0493770649335284,0.348199657385286,0.982619390211348,"",0.0064187990439128,0.902998800022876,0.985503083142924,"",0.00437588707810155,0.933784195500905,0.97896730173482,"",-0.00841182494622333,0.87310412173389,0.980134710779323,""
"30","POLE",0.0374540230053806,0.476846661181948,0.877172814451441,"",0.0301906007515748,0.56640433784752,0.780009384570851,"",0.00809234683441569,0.877885186557448,0.937487907354968,"",-0.0121175659719518,0.81802741787391,0.982619390211348,"",-0.0481899082202175,0.359925846908999,0.985503083142924,"",-0.049189308041776,0.350037958821187,0.798498602175891,"",-0.0355821628751494,0.499163121415759,0.811140072300608,""
"31","POLE2",-0.00746903473110373,0.887225823050139,0.961737833691942,"",0.0707762041581734,0.178462273945634,0.450300198797802,"",-0.0336528068823104,0.522730725208238,0.737842597599282,"",-0.0700055403701223,0.183249007239215,0.982619390211348,"",0.0223400712773776,0.671405042344317,0.985503083142924,"",-0.0431350209235739,0.412569947587247,0.798498602175891,"",-0.0398407921704303,0.449198744360804,0.797482089387491,""
"32","POLE3",0.0642329939388528,0.222145439186944,0.753445743357439,"",-0.0361119272387723,0.492791702917293,0.727987742946002,"",-0.0405990002024846,0.440609141547593,0.71074221302143,"",-0.0498470296397624,0.34362514942421,0.982619390211348,"",-0.0440152639574182,0.403089450033399,0.985503083142924,"",0.0745803579691496,0.156184538338674,0.798498602175891,"",0.0226421984928272,0.667225408583526,0.922758543785728,""
"33","POLE4",0.0174121759417046,0.74092595966099,0.926157449576238,"",-0.0117263915841091,0.823804139501653,0.849956651866785,"",0.0201934138372909,0.701387355061244,0.844262557018164,"",0.00114737745575735,0.982619390211348,0.982619390211348,"",-0.0473224002442279,0.368648977634644,0.985503083142924,"",0.0445431294105484,0.397467051478603,0.798498602175891,"",-0.125054647053563,0.0171368608828328,0.371298652461377,""
"34","POLK",-0.0285891621623425,0.587178667300841,0.926157449576238,"",0.0408790943682341,0.437459883288655,0.707575608181509,"",-0.0593591315779955,0.259304021039449,0.588529818591137,"",0.027439860689958,0.602300899687199,0.982619390211348,"",0.00891582241061671,0.865571122549544,0.985503083142924,"",-0.0177427148185515,0.736188720149705,0.888126105133063,"",0.0577973749719618,0.272069915400469,0.787793946343943,""
"35","POLR2A",0.0431634232338137,0.412262005712394,0.828420653976937,"",-0.0903485063761588,0.085623417738533,0.34784513456279,"",0.0796532279185143,0.129830327924906,0.527435707194931,"",0.0380967370748937,0.469311569347744,0.982619390211348,"",-0.036309965146387,0.490421116686041,0.985503083142924,"",0.0188319073457258,0.720649974336282,0.888126105133063,"",0.00878110449051425,0.867583522707064,0.980134710779323,""
"36","POLR2B",0.073585740429724,0.161795430236837,0.751193068956743,"",-0.0582059770196492,0.268689322594776,0.582160198955348,"",-0.0275637764948246,0.600662064392364,0.781289364016119,"",0.0701814961430434,0.182147854458156,0.982619390211348,"",0.088061893758992,0.0938805435463047,0.985503083142924,"",0.0141976976477994,0.787481005202287,0.90877244317058,"",0.0401163997407422,0.446065543523084,0.797482089387491,""
"37","POLR2C",-0.0641978332202741,0.222399142269028,0.753445743357439,"",0.100960000399668,0.0546277719947529,0.291240232813455,"",0.0582448823041528,0.268368941788615,0.588529818591137,"",-0.0440072624027424,0.403175039639866,0.982619390211348,"",-0.037813831928814,0.472620205692275,0.985503083142924,"",0.032056497565659,0.54265151602008,0.860304482063803,"",-0.0506717374087727,0.33569052272593,0.787793946343943,""
"38","POLR2D",-0.0333642604475929,0.526303688670865,0.877172814451441,"",0.0408418870030073,0.437877482361903,0.707575608181509,"",-0.0765164066553771,0.145686149051557,0.557035275785366,"",-0.0246596321813725,0.639584458735955,0.982619390211348,"",-0.019772588411464,0.707321502231197,0.985503083142924,"",0.0444820840435616,0.398114839352108,0.798498602175891,"",-0.0395830273154318,0.452140321206007,0.797482089387491,""
"39","POLR2E",0.0345941714761251,0.511161034958643,0.877172814451441,"",-0.0376459984657769,0.474589082378473,0.727987742946002,"",0.0351178383041576,0.504783136468306,0.737842597599282,"",-0.0748077838369862,0.154922467809968,0.982619390211348,"",-0.0465343980094767,0.376685163308287,0.985503083142924,"",-0.0204945596465054,0.697151916868323,0.888126105133063,"",-0.0703123987591977,0.181331825743182,0.787793946343943,""
