"","sig1","sig2","pval","padj","sign"
"1","S1","S2",0.000334555460593638,0.00213107245446632,"*"
"2","S1","S3",0.0115596892013407,0.0521869463944022,""
"3","S1","S4",0.000459385974024005,0.00282990095364006,"*"
"4","S1","S5",0.000176479829856545,0.00117233029833277,"*"
"5","S1","S6",0.00203988350460764,0.0107789298823017,"*"
"6","S1","S7",7.95813396249535e-26,6.09897765497523e-24,"*"
"7","S1","S8",9.15540314749452e-05,0.000746888151506132,"*"
"8","S1","S9",7.657484671307e-05,0.000684755840799569,"*"
"9","S1","S10",0.000155981075193208,0.00108255522335584,"*"
"10","S1","S11",0.120609065883603,0.297838282785354,""
"11","S1","S12",0.000128656529169491,0.000934770094747086,"*"
"12","S1","S13",0.000104937540050451,0.000827050103787455,"*"
"13","S1","S14",6.39086421397555e-05,0.000600206488515839,"*"
"14","S1","S15",8.9733675657649e-05,0.00074510998537155,"*"
"15","S1","S16",0.000170461884984508,0.00114876487706951,"*"
"16","S1","S17",0.000206907226396846,0.00135509662358498,"*"
"17","S1","S18",6.45383320984774e-05,0.000600206488515839,"*"
"18","S1","S19",0.0021359639058081,0.0109145408373711,"*"
"19","S1","S20",6.09378589667737e-05,0.000600206488515839,"*"
"20","S1","S21",0.000925487251233796,0.00524818990028921,"*"
"21","S1","S22",0.000140286607202534,0.00098838291438149,"*"
"22","S1","S23",0.00313356350419156,0.0155011386111604,"*"
"23","S1","S24",8.75707700019151e-05,0.000740371055470736,"*"
"24","S1","S25",0.000117418984295153,0.000909997128287437,"*"
"25","S1","S26",0.000119582936842422,0.000911574846421743,"*"
"26","S1","S27",5.7718944411063e-05,0.000583463242416181,"*"
"27","S1","S28",8.46447181982153e-05,0.000736926964985159,"*"
"28","S1","S29",7.1047782971379e-05,0.000647788609444926,"*"
"29","S1","S30",0.000165093112671955,0.0011289455498891,"*"
"30","S1","unknown",5.60392900000008e-05,0.000579072663333342,"*"
"31","S2","S3",0.312187111002161,0.490429076405422,""
"32","S2","S4",0.829638591343463,0.893013761515533,""
"33","S2","S5",0.373487986350401,0.539353769108499,""
"34","S2","S6",0.497423286957305,0.651554446296189,""
"35","S2","S7",4.30427234796114e-25,6.67162213933977e-24,"*"
"36","S2","S8",0.0381493553959694,0.130437134258278,""
"37","S2","S9",0.0117755152385811,0.0526501402494251,""
"38","S2","S10",0.296397397589526,0.481904859717236,""
"39","S2","S11",0.000375327252444473,0.0023584753025227,"*"
"40","S2","S12",0.176907719506086,0.365016897493466,""
"41","S2","S13",0.0772994531272454,0.230026044445971,""
"42","S2","S14",0.00370283431342916,0.0181243995341532,"*"
"43","S2","S15",0.0300019641423859,0.108991510361011,""
"44","S2","S16",0.36151006646974,0.531968926925408,""
"45","S2","S17",0.480212957672474,0.638874160615463,""
"46","S2","S18",0.00381287580693071,0.0184686171898206,"*"
"47","S2","S19",0.276990282699596,0.467817085954882,""
"48","S2","S20",0.00246741869241546,0.0123370934620773,"*"
"49","S2","S21",0.647039353484215,0.767533926964694,""
"50","S2","S22",0.246259820374212,0.439583776489088,""
"51","S2","S23",0.0639280858848223,0.206133417995645,""
"52","S2","S24",0.0316113212555644,0.113947785921221,""
"53","S2","S25",0.0892862848601527,0.247351485079918,""
"54","S2","S26",0.112291059730102,0.288787480500235,""
"55","S2","S27",0.00179193465493906,0.00966959557748378,"*"
"56","S2","S28",0.0233374271289659,0.0885831328292059,""
"57","S2","S29",0.00706951208437586,0.0325477536557898,"*"
"58","S2","S30",0.341728135197258,0.510943996356028,""
"59","S2","unknown",0.0015004371354857,0.00820827374118647,"*"
"60","S3","S4",0.366746243273851,0.536279884032518,""
"61","S3","S5",0.195595312531975,0.383695126099317,""
"62","S3","S6",0.645036037748625,0.767114469445295,""
"63","S3","S7",1.26163934843147e-26,5.86662297020635e-24,"*"
"64","S3","S8",0.120360071896143,0.297838282785354,""
"65","S3","S9",0.10412162014999,0.274761007894767,""
"66","S3","S10",0.178191044582832,0.365016897493466,""
"67","S3","S11",0.123943920941728,0.300176683530748,""
"68","S3","S12",0.155646024187279,0.339790616183496,""
"69","S3","S13",0.133927373014638,0.31317102494266,""
"70","S3","S14",0.0892845920770235,0.247351485079918,""
"71","S3","S15",0.118656951698437,0.296642379246092,""
"72","S3","S16",0.187366356151934,0.375540325907971,""
"73","S3","S17",0.209066833225461,0.396800316121793,""
"74","S3","S18",0.0900601666951921,0.247461612301652,""
"75","S3","S19",0.730931972366156,0.833047468505545,""
"76","S3","S20",0.0857165624795705,0.244528843883437,""
"77","S3","S21",0.48985659437355,0.647111694271877,""
"78","S3","S22",0.163493058218244,0.347455646577288,""
"79","S3","S23",0.923614947597519,0.954402112517436,""
"80","S3","S24",0.11602733912693,0.293221264641427,""
"81","S3","S25",0.147560157355205,0.330412791484331,""
"82","S3","S26",0.148944295043598,0.331383240168771,""
"83","S3","S27",0.081732380072621,0.237534729586055,""
"84","S3","S28",0.113030798819447,0.288787480500235,""
"85","S3","S29",0.0977793366300198,0.264345299610228,""
"86","S3","S30",0.183251400444851,0.372104372082339,""
"87","S3","unknown",0.0796322082374092,0.232886646732046,""
"88","S4","S5",0.355353961440705,0.526240739076204,""
"89","S4","S6",0.597611809453625,0.729368743821354,""
"90","S4","S7",3.24530733511449e-25,6.09897765497523e-24,"*"
"91","S4","S8",0.082528886139987,0.238359826429155,""
"92","S4","S9",0.0459853224766694,0.154950543127908,""
"93","S4","S10",0.293440552970121,0.478771428530197,""
"94","S4","S11",0.000819313820331438,0.00470346822782862,"*"
"95","S4","S12",0.20257846596825,0.390867164627536,""
"96","S4","S13",0.121985670696645,0.298543878283895,""
"97","S4","S14",0.0254081639286893,0.0945183698147242,""
"98","S4","S15",0.0749407521876787,0.22847630175324,""
"99","S4","S16",0.340123557910263,0.510185336865395,""
"100","S4","S17",0.432590347893576,0.591630916972096,""
"101","S4","S18",0.0260257124511216,0.0960472721410441,""
"102","S4","S19",0.383099001171483,0.545717529981766,""
"103","S4","S20",0.0211104615008625,0.0818030383158423,""
"104","S4","S21",0.778416158509403,0.868018018481708,""
"105","S4","S22",0.2495557392849,0.439583776489088,""
"106","S4","S23",0.129673267658109,0.309220869030876,""
"107","S4","S24",0.0735203248005366,0.227913006881663,""
"108","S4","S25",0.146244054721978,0.330412791484331,""
"109","S4","S26",0.160162180998812,0.343848411661307,""
"110","S4","S27",0.0177025289648909,0.072846689988268,""
"111","S4","S28",0.0642781626007925,0.206133417995645,""
"112","S4","S29",0.0357493677067987,0.126896610562301,""
"113","S4","S30",0.324528577316241,0.498631308511459,""
"114","S4","unknown",0.0160597304518851,0.0672772491903294,""
"115","S5","S6",0.277672076824833,0.467817085954882,""
"116","S5","S7",3.00876513399322e-25,6.09897765497523e-24,"*"
"117","S5","S8",0.434343298059447,0.592286315535609,""
"118","S5","S9",0.28586612679673,0.474741960573141,""
"119","S5","S10",0.88327083256988,0.929232889468313,""
"120","S5","S11",0.000125692983118873,0.000927733923020251,"*"
"121","S5","S12",0.733971322532703,0.834466173539625,""
"122","S5","S13",0.557273639974155,0.69547566294439,""
"123","S5","S14",0.1735599494837,0.361907517981707,""
"124","S5","S15",0.413544583001537,0.572316163975342,""
"125","S5","S16",0.918355972628104,0.953204301946581,""
"126","S5","S17",0.994200328063087,0.996343001183913,""
"127","S5","S18",0.177682570229111,0.365016897493466,""
"128","S5","S19",0.121056850422434,0.297838282785354,""
"129","S5","S20",0.147797549739228,0.330412791484331,""
"130","S5","S21",0.333667814236868,0.507044227516809,""
"131","S5","S22",0.776069566166284,0.867481606411832,""
"132","S5","S23",0.0190211735013943,0.0759232409809266,""
"133","S5","S24",0.397618268923739,0.558587598336974,""
"134","S5","S25",0.673742273810235,0.787437200574589,""
"135","S5","S26",0.685760262758877,0.791249922324746,""
"136","S5","S27",0.125413378117262,0.302161765930192,""
"137","S5","S28",0.366191177569915,0.536279884032518,""
"138","S5","S29",0.233519254941858,0.427505722629779,""
"139","S5","S30",0.895141529433816,0.93537260940837,""
"140","S5","unknown",0.114387865567638,0.290657691196456,""
"141","S6","S7",7.45284268184433e-26,6.09897765497523e-24,"*"
"142","S6","S8",0.139793423705129,0.320257725988494,""
"143","S6","S9",0.112427704799043,0.288787480500235,""
"144","S6","S10",0.246030988607348,0.439583776489088,""
"145","S6","S11",0.0154805934946053,0.0655003229442699,""
"146","S6","S12",0.203689145115365,0.391386167267127,""
"147","S6","S13",0.163640401291239,0.347455646577288,""
