,Signature,t,df,pval,padj
1,S1,-0.749,49.058,0.457,0.674
2,S2,0.549,56.242,0.585,0.896
3,S3,0.159,69.665,0.874,0.896
4,S4,-0.387,39.389,0.701,0.867
5,S5,0.396,65.010,0.693,0.890
6,S6,1.265,52.236,0.212,0.867
7,S7,0.823,42.988,0.415,0.675
8,S8,1.407,46.000,0.166,0.896
9,S9,1.464,46.000,0.150,0.675
10,S10,1.387,46.000,0.172,0.867
11,S11,1.055,67.402,0.295,0.867
12,S12,0.430,68.074,0.669,0.675
13,S13,-0.800,29.924,0.430,0.896
14,S14,1.000,46.000,0.323,0.674
15,S15,-1.640,26.442,0.113,0.867
16,S16,1.234,46.000,0.224,0.867
17,S17,-0.056,71.242,0.956,0.867
18,S18,-1.312,32.641,0.199,0.703
19,S19,-0.706,35.575,0.485,0.675
20,S20,-1.189,26.036,0.245,0.675
21,S21,-0.340,38.969,0.735,0.850
22,S22,0.648,59.838,0.519,0.674
23,S23,-1.085,36.206,0.285,0.867
24,S24,-0.625,53.626,0.534,0.674
25,S25,1.756,64.367,0.084,0.896
26,S26,1.890,46.000,0.065,0.675
27,S27,-0.895,26.527,0.379,0.674
28,S28,-0.769,28.614,0.448,0.896
29,S29,0.580,67.109,0.564,0.675
30,S30,-0.184,50.791,0.855,0.675
31,unknown,1.183,71.556,0.241,0.896
