Signature,t,df,pval,padj
S1,-1.769,41.220,0.084,0.449
S2,-1.320,42.725,0.194,0.646
S3,-0.430,48.663,0.669,0.803
S4,-1.023,37.635,0.313,0.688
S5,-1.670,32.589,0.104,0.449
S6,-1.105,47.554,0.275,0.688
S7,2.397,45.229,0.021,0.449
S8,-0.839,31.388,0.408,0.711
S9,1.640,83.564,0.105,0.449
S10,-0.135,71.132,0.893,0.924
S11,-0.169,64.665,0.866,0.924
S12,0.544,96.984,0.588,0.735
S13,-1.733,30.000,0.093,0.449
S14,1.000,67.000,0.321,0.688
S15,-0.215,64.232,0.831,0.923
S16,-0.806,31.988,0.426,0.711
S17,-1.194,32.279,0.241,0.688
S18,0.710,96.608,0.480,0.711
S19,0.382,69.892,0.703,0.811
S20,-1.915,30.634,0.065,0.449
S21,-1.909,41.064,0.063,0.449
S22,-1.097,31.475,0.281,0.688
S23,0.683,61.904,0.497,0.711
S24,-0.713,50.570,0.479,0.711
S25,-0.589,40.371,0.559,0.735
S26,1.429,67.000,0.158,0.591
S27,NA,NA,NA,NA
S28,-0.817,34.759,0.420,0.711
S29,0.571,90.704,0.569,0.735
S30,-0.072,70.692,0.943,0.943
unknown,0.872,65.908,0.386,0.711
