,Signature,W,pval,padj,,,,,
1,S1,912.5,0.286976655,0.709122105,,,,,
2,S2,884,0.057232986,0.286164931,,,,,
3,S3,1078.5,0.771614518,0.798221915,,,,,
4,S4,1057.5,0.977542435,0.977542435,,,,,
5,S5,842,0.004878607,0.125851379,,,,,
6,S6,955,0.258058223,0.703795153,,,,,
7,S7,1385,0.012585138,0.125851379,,,,,
8,S8,1035,0.566822118,0.709122105,,,,,0.125851379
9,S9,1100.5,0.486464071,0.709122105,,,,,0.977542435
10,S10,1018,0.432390811,0.709122105,,,,,
11,S11,1009,0.696768896,0.771887813,,,,,
12,S12,1035.5,0.720428626,0.771887813,,,,,
13,S13,952,0.009914596,0.125851379,,,,,
14,S14,1069.5,0.513491824,0.709122105,,,,,
15,S15,1012,0.549336363,0.709122105,,,,,
16,S16,1035,0.566822118,0.709122105,,,,,
17,S17,934.5,0.017980272,0.134852043,,,,,
18,S18,1087.5,0.689810262,0.771887813,,,,,
19,S19,1150,0.330211922,0.709122105,,,,,
20,S20,899,0.068930757,0.295417531,,,,,
21,S21,848.5,0.048642264,0.286164931,,,,,
22,S22,1001.5,0.186449548,0.559348643,,,,,
23,S23,1140,0.502084468,0.709122105,,,,,
24,S24,991,0.405500063,0.709122105,,,,,
25,S25,962,0.342767916,0.709122105,,,,,
26,S26,1116,0.173793529,0.559348643,,,,,
27,S27,1054,NA,NA,,,,,
28,S28,1001.5,0.186449548,0.559348643,,,,,
29,S29,1081,0.598271557,0.717925869,,,,,
30,S30,1099,0.567297684,0.709122105,,,,,
31,unknown,1132,0.408941713,0.709122105,,,,,
