"","gene","cor_skcm_tp","pval","padj","sign","cor_skcm_tm","pval_tm","padj_tm","sign_tm","cor_uvm","pval_uvm","padj_uvm","sign_uvm"
"1","EXO1",0.439861044848557,3.33742748484118e-06,8.67731146058706e-06,"*",0.13942072888199,0.00739420520170743,0.0120155834527746,"*",0.0494534688422729,0.6631048812459,0.783522153525953,""
"2","HMGB1",0.46936170209212,5.69755501194217e-07,1.8517053788812e-06,"*",0.390587541771506,7.34389666684728e-15,3.81882626676059e-14,"*",0.190753002426967,0.0900952264524284,0.212952353433013,""
"3","LIG1",-0.30954993761044,0.00146373030401497,0.00253713252695929,"*",-0.325833602198545,1.50436080704308e-10,4.88917262289001e-10,"*",0.256396771395993,0.0216924748056449,0.0626671494385296,""
"4","MLH3",0.275117811054796,0.00491496134234303,0.00751699970005405,"*",0.185259995439523,0.000353201162228786,0.000706402324457573,"*",0.233486723694889,0.0371233321886227,0.0965206636904191,""
"5","MLH1",0.324582501426571,0.000822831085264983,0.00164566217052997,"*",0.109358531403867,0.0359921174192852,0.0550467678177303,"",-0.479044552156124,6.94956346445559e-06,6.02295500252817e-05,"*"
"6","MSH5",0.134600477135039,0.175241898572757,0.198099537517029,"",0.0893287471793259,0.0870414102712376,0.113153833352609,"",-0.344286134554821,0.00176529795992623,0.00764962449301366,"*"
"7","MSH4",0.121728948070232,0.319058061365807,0.345646233146291,"",0.0926795365198718,0.138416377870358,0.165075336668585,"",-0.332020414726431,0.0172997484485143,0.0562241824576715,""
"8","MSH6",0.562185290976506,6.43848730799293e-10,4.1850167501954e-09,"*",0.333097910048811,5.51383694435842e-11,2.04799657933313e-10,"*",0.0833228638098806,0.46245387909914,0.632831624030402,""
"9","MSH3",0.489027599291702,1.59406072199881e-07,5.92079696742413e-07,"*",0.452798356612684,5.29768632474679e-20,4.59132814811389e-19,"*",0.0753121913533359,0.506719157384222,0.658734904599489,""
"10","MSH2",0.65282657313741,7.87907961913073e-14,1.02428035048699e-12,"*",0.47131399695109,9.50244095517389e-22,1.23531732417261e-20,"*",0.0422951310557371,0.709511643178886,0.783522153525953,""
"11","PCNA",0.354719567917613,0.000236570945077518,0.000512570381001289,"*",0.0216815706627025,0.678465223830825,0.705603832784058,"",0.511661304579177,1.23081684345594e-06,1.60006189649273e-05,"*"
"12","PMS2",0.197658677773086,0.0453573054279853,0.0620678916382956,"",0.0598511831988707,0.252099132521655,0.273107393565127,"",-0.0903640672516404,0.425362157792203,0.614412005699848,""
"13","PMS1",0.655998062786349,5.43540125009254e-14,1.02428035048699e-12,"*",0.603978747539911,5.8976583133917e-38,1.53339116148184e-36,"*",0.17283471260515,0.125247914147192,0.27137048065225,""
"14","POLD3",0.413713976835296,1.40061697112394e-05,3.31054920447476e-05,"*",0.170046778004919,0.00105719176754041,0.00196335613971791,"*",-0.00143317680856268,0.989933374684276,0.994725530872925,""
"15","POLD2",-0.299186000686607,0.00214063997077426,0.00347853995250817,"*",-0.32100412474165,2.88943367857006e-10,8.3472528492024e-10,"*",-0.095465614390794,0.399587606041405,0.611133985710384,""
"16","POLD1",-0.146683910943321,0.139268411673201,0.164589941068329,"",-0.307622564118494,1.66064367544039e-09,4.31767355614501e-09,"*",-0.336022537873415,0.00230902239775108,0.00857636890593259,"*"
"17","POLD4",-0.442342557990348,2.89442678782e-06,8.36167738703556e-06,"*",-0.358534831439878,1.3253595184739e-12,5.74322458005355e-12,"*",0.122206565350165,0.280186943971906,0.485657369551304,""
"18","RFC5",0.321537351536688,0.000926882418390671,0.00172135306272553,"*",0.0185037134695633,0.723499673092888,0.723499673092888,"",0.111874506967134,0.323155915513328,0.525128362709158,""
"19","RFC4",0.534741669691335,5.94196372742944e-09,3.08982113826331e-08,"*",0.267041843846791,1.99228895034631e-07,4.31662605908366e-07,"*",-0.368319007089741,0.000775207093460254,0.00403107688599332,"*"
"20","RFC3",0.511963434667773,3.25072313474655e-08,1.40864669172351e-07,"*",0.304892392929719,2.34752297647002e-09,5.54869067165642e-09,"*",0.0402082841889443,0.723251218639341,0.783522153525953,""
"21","RFC2",-0.17571774268296,0.0758289733704888,0.0985776653816354,"",-0.103884663123642,0.0464298133438289,0.0670652859410862,"",0.546385789417509,1.5820690366355e-07,4.1133794952523e-06,"*"
"22","RFC1",0.627952414501838,1.25213735512231e-12,1.08518570777267e-11,"*",0.393267645666759,4.63221614784825e-15,3.01094049610136e-14,"*",-0.000750907470523692,0.994725530872925,0.994725530872925,""
"23","RPA4",0.237777959792746,0.0336834202430722,0.0486538292399932,"*",0.0807971732670699,0.166325029340594,0.188019598385019,"",0.268686942455606,0.166813812275957,0.309797079941064,""
"24","RPA3",-0.0780604621918681,0.433183528868647,0.433183528868647,"",-0.10097182141851,0.0529492764595176,0.0724569046288136,"",-0.0547443383628471,0.629590113587551,0.779492521584587,""
"25","RPA2",0.170439538163104,0.0851999710309108,0.105485678419223,"",0.147031219225462,0.00470850068897217,0.00816140119421843,"*",-0.163258602773626,0.147903845593956,0.295807691187913,""
"26","RPA1",0.0843945360119687,0.396676695334716,0.412543763148105,"",0.0771409391672395,0.139679131027264,0.165075336668585,"",-0.414955092104069,0.000129649099846467,0.000842719149002037,"*"
