NER metscore,gene,cor_skcm_tp,pval,padj,sign,cor_skcm_tm,pval_tm,padj_tm,sign_tm,cor_uvm,pval_uvm,padj_uvm,sign_uvm
,CETN2,-0.358277227,0.000202492,0.000411311,*,-0.21899471,2.25E-05,3.75E-05,*,-0.626660119,5.04E-10,1.09E-08,*
,CUL4A,0.366418408,0.00014087,0.00031425,*,0.170324092,0.001037089,0.001431614,*,0.121148553,0.284403159,0.462155134,
,DDB1,-0.313820029,0.001246542,0.001976226,*,-0.220340144,2.00E-05,3.42E-05,*,-0.03633475,0.748984451,0.854015868,
,DDB2,-0.324230495,0.000834288,0.001427071,*,-0.279171094,5.16E-08,1.12E-07,*,0.11210159,0.322168499,0.50012225,
,PCNA,0.354719568,0.000236571,0.000465973,*,0.021681571,0.678465224,0.700003802,,0.511661305,1.23E-06,8.00E-06,*
,POLD3,0.413713977,1.40E-05,4.79E-05,*,0.170046778,0.001057192,0.001431614,*,-0.001433177,0.989933375,0.994725531,
,POLD2,-0.299186001,0.00214064,0.003162309,*,-0.321004125,2.89E-10,8.54E-10,*,-0.095465614,0.399587606,0.553678565,
,POLD1,-0.146683911,0.139268412,0.153431301,,-0.307622564,1.66E-09,4.15E-09,*,-0.336022538,0.002309022,0.008828615,*
,POLR2I,-0.527666214,1.02E-08,8.30E-08,*,-0.405821172,5.06E-16,3.29E-15,*,0.034384836,0.762044928,0.854015868,
,POLR2H,-0.086119212,0.387062765,0.41244393,,-0.043753399,0.402659409,0.429063305,,-0.583761712,1.32E-08,1.43E-07,*
,POLR2G,-0.420282442,9.88E-06,3.78E-05,*,-0.153516654,0.003152513,0.004098266,*,0.007726454,0.945769033,0.975793447,
,POLR2F,-0.229658264,0.019615908,0.025500681,*,-0.260969094,3.82E-07,7.31E-07,*,-0.158555693,0.160095917,0.315340443,
,POLR2E,-0.510029855,3.73E-08,1.92E-07,*,-0.495404182,3.47E-24,4.52E-23,*,0.285361572,0.010294731,0.031864644,*
,POLR2D,0.365043661,0.000149873,0.00031425,*,0.229191565,8.96E-06,1.62E-05,*,0.408644723,0.000167748,0.000908635,*
,POLR2C,-0.160326994,0.105712855,0.118471303,,-0.014037717,0.788401306,0.788401306,,-0.108863369,0.336431699,0.508559545,
,POLR2B,0.505347192,5.20E-08,2.42E-07,*,0.374675055,1.04E-13,4.51E-13,*,0.250892416,0.024783114,0.067120933,
,POLR2A,-0.347155933,0.000327322,0.000625764,*,-0.276676038,6.85E-08,1.44E-07,*,0.248472386,0.026255941,0.068265446,
,POLK,0.71406303,2.52E-17,1.64E-15,*,0.545961925,5.64E-30,1.83E-28,*,0.072028938,0.525472484,0.697055335,
,POLE,-0.125263194,0.207402589,0.224686138,,-0.215716374,3.00E-05,4.88E-05,*,0.406395986,0.000183652,0.000918262,*
,POLE4,-0.412302094,1.51E-05,4.90E-05,*,-0.299563021,4.57E-09,1.06E-08,*,0.163580385,0.147095807,0.300429686,
