"","gene","S6_cor","S6_p","S6_padj","S6_sign","S15_cor","S15_p","S15_padj","S15_sign","S20_cor","S20_p","S20_padj","S20_sign","S25_cor","S25_p","S25_padj","S25_sign"
"1","EXO1",-0.369517742242267,0.000742777581721865,0.00965610856238424,"*",-0.044456818524769,0.695376402549903,0.976422525591039,"",-0.0276654442411436,0.807541084483454,0.964036792269204,"",-0.00781422397710189,0.945153934511242,0.967529108841428,""
"2","HMGB1",-0.261062872043223,0.019336168757903,0.0651484524406784,"",0.0204592987511585,0.85704869792171,0.976422525591039,"",0.0679066406348779,0.549501181144897,0.964036792269204,"",-0.0602923315581965,0.595233502275524,0.910357121127272,""
"3","LIG1",0.0509255065208568,0.653710066984936,0.746603981914461,"",0.0843152928701924,0.457121271809421,0.976422525591039,"",-0.0743822775856356,0.511995400672477,0.964036792269204,"",-0.0124288687150538,0.912867962220921,0.967529108841428,""
"4","MLH1",-0.250433153272633,0.0250570970925686,0.0651484524406784,"",0.120647784244998,0.28641334264152,0.976422525591039,"",0.00822760108120803,0.942257392388766,0.964036792269204,"",0.0312181174776504,0.783396320485905,0.967529108841428,""
"5","MLH3",-0.272099446349228,0.014618768660804,0.0633479975301506,"",0.136879137116847,0.226001232349941,0.976422525591039,"",-0.0141216176671313,0.90105726741634,0.964036792269204,"",-0.113682585391084,0.315347514950969,0.72079373772811,""
"6","MSH2",-0.342195023985616,0.00189070367436349,0.0136633891066492,"*",0.124158601300342,0.272517814610973,0.976422525591039,"",0.0622095772290683,0.583558998650252,0.964036792269204,"",-0.14407912960815,0.202286060770778,0.72079373772811,""
"7","MSH3",-0.252537233336658,0.0238226402832093,0.0651484524406784,"",0.081995028874784,0.469641634323163,0.976422525591039,"",0.0335796986857784,0.767457399594926,0.964036792269204,"",-0.179235364761141,0.111652223085173,0.580591560042902,""
"8","MSH4",-0.00606760649072172,0.966293423782171,0.966293423782171,"",-0.0778007727188183,0.58736521624608,0.976422525591039,"",0.105517688939505,0.461166951773547,0.964036792269204,"",-0.104085313176465,0.467306878243291,0.759373677145349,""
"9","MSH5",-0.165789341735746,0.141637929594197,0.245505744629941,"",-0.0277185754323567,0.807178603942588,0.976422525591039,"",0.176588361288554,0.117129299290422,0.819086811309089,"",-0.179305923192307,0.1115089859397,0.580591560042902,""
"10","MSH6",-0.338938007003783,0.00210205986256141,0.0136633891066492,"*",0.0413376056555079,0.715804701462781,0.976422525591039,"",0.169740717893855,0.132257488510042,0.819086811309089,"",-0.19320984049337,0.0859529469258348,0.580591560042902,""
"11","PCNA",-0.222151025084291,0.0476440267050827,0.103228724527679,"",0.00164509763044071,0.988444939580152,0.988444939580152,"",-0.177995958125475,0.114191559021156,0.819086811309089,"",0.213017101543804,0.0578104344827407,0.580591560042902,""
"12","PMS1",-0.255841822329884,0.021988377766042,0.0651484524406784,"",0.0887432925006827,0.433745742302845,0.976422525591039,"",0.0325895541582675,0.774128824785576,0.964036792269204,"",-0.119963410111329,0.289175737680147,0.72079373772811,""
"13","PMS2",-0.161031476469409,0.153587871328939,0.246007701673124,"",-0.0745105938381522,0.511265678543245,0.976422525591039,"",-0.0773304112567177,0.495365140227267,0.964036792269204,"",-0.113772810308256,0.314961079087974,0.72079373772811,""
"14","POLD1",0.0860130864272652,0.448077582045932,0.592164324504377,"",-0.14139216220881,0.210919102271766,0.976422525591039,"",0.0142875865527955,0.89990037792637,0.964036792269204,"",0.0521184784726324,0.646135499086303,0.933306832013548,""
"15","POLD2",0.182464881599146,0.105240644942884,0.210481289885768,"",-0.0677639920682332,0.550342084299458,0.976422525591039,"",-0.0583522557662903,0.607152257849923,0.964036792269204,"",0.0458666898142729,0.686212540200133,0.939027686589656,""
"16","POLD3",-0.309286901326894,0.00524472633226705,0.0272725769277887,"*",0.018115192267645,0.873282682265681,0.976422525591039,"",0.0187003323657588,0.869225151238288,0.964036792269204,"",-0.0399513669548347,0.72494890192711,0.942433572505243,""
"17","POLD4",0.222964236508032,0.04681526747072,0.103228724527679,"",-0.0481496468390185,0.671469787222411,0.976422525591039,"",-0.159527765297467,0.157516694482517,0.819086811309089,"",0.0966557738959465,0.393709908448178,0.72079373772811,""
"18","RFC1",-0.158273242143815,0.160851189555504,0.246007701673124,"",0.173694298197434,0.123351812921235,0.976422525591039,"",0.0524655478127421,0.64393853725441,0.964036792269204,"",-0.145064816843392,0.199183320042066,0.72079373772811,""
"19","RFC2",-0.0420951212144955,0.710824561798702,0.746603981914461,"",-0.0902702981366293,0.425844642400498,0.976422525591039,"",-0.0305857286464771,0.787679953027583,0.964036792269204,"",-0.0136916926019745,0.904055021494806,0.967529108841428,""
"20","RFC3",-0.401410126174245,0.000223992499384678,0.00582380498400162,"*",-0.0702902182313556,0.535542803757308,0.976422525591039,"",0.00830014435673005,0.94174915627925,0.964036792269204,"",-0.0945103157589527,0.404342652784908,0.72079373772811,""
"21","RFC4",-0.167353461834683,0.137866561695039,0.245505744629941,"",-0.0224380100552891,0.843390962057628,0.976422525591039,"",-0.0519340626986047,0.6473040917859,0.964036792269204,"",-0.00462398465320177,0.967529108841428,0.967529108841428,""
"22","RFC5",-0.138357264042183,0.220980572528302,0.319194160318659,"",-0.0219946074888755,0.846447613907027,0.976422525591039,"",0.100916449709857,0.373092858951844,0.964036792269204,"",-0.0981251977193499,0.386524303379509,0.72079373772811,""
"23","RPA1",-0.0410211901928242,0.717888444148521,0.746603981914461,"",-0.0758676173182991,0.503581146448932,0.976422525591039,"",-0.0573644162097722,0.61326086631029,0.964036792269204,"",-0.0922268149576478,0.415842540996987,0.72079373772811,""
"24","RPA2",-0.0846162205737502,0.455511018849521,0.592164324504377,"",0.0140849195146844,0.901313100545575,0.976422525591039,"",-0.122717360880372,0.27816638876672,0.964036792269204,"",0.00974787994491851,0.931611493029696,0.967529108841428,""
"25","RPA3",-0.0602569539518392,0.595449902681427,0.737223689034148,"",0.00501789154036897,0.964764681178522,0.988444939580152,"",-0.179119745713561,0.111887243231194,0.819086811309089,"",0.250260248181624,0.0251609115727761,0.580591560042902,""
"26","RPA4",0.0786211643778944,0.690871095959261,0.746603981914461,"",-0.138249023639524,0.482945793938113,0.976422525591039,"",-0.00892781157438595,0.964036792269204,0.964036792269204,"",0.200550702847661,0.306177769859575,0.72079373772811,""
