,Signature,t,df,pval,padj
1,S1,0.230,77.798,0.818,0.906
2,S2,-0.792,65.747,0.431,0.786
3,S3,0.518,74.689,0.606,0.844
4,S4,1.622,43.503,0.112,0.398
5,S5,1.992,35.000,0.054,0.398
6,S6,-0.451,77.887,0.653,0.844
7,S7,0.054,60.289,0.957,0.982
8,S8,-0.627,52.548,0.533,0.844
9,S9,-1.000,43.000,0.323,0.670
10,S10,-1.000,43.000,0.323,0.670
11,S11,-0.578,74.109,0.565,0.844
12,S12,2.022,35.000,0.051,0.398
13,S13,-0.356,77.980,0.723,0.883
14,S14,1.641,40.339,0.109,0.398
15,S15,-1.322,73.223,0.190,0.491
16,S16,0.028,75.531,0.978,0.982
17,S17,0.332,67.199,0.741,0.883
18,S18,-0.279,77.485,0.781,0.897
19,S19,0.675,68.831,0.502,0.844
20,S20,1.920,63.171,0.059,0.398
21,S21,0.484,63.157,0.630,0.844
22,S22,-1.537,77.043,0.128,0.398
23,S23,1.564,51.746,0.124,0.398
24,S24,-1.820,47.547,0.075,0.398
25,S25,-1.336,45.669,0.188,0.491
26,S26,-1.625,47.401,0.111,0.398
27,S27,1.000,35.000,0.324,0.670
28,S28,0.022,74.578,0.982,0.982
29,S29,-0.841,76.212,0.403,0.780
30,S30,-0.541,75.984,0.590,0.844
31,unknown,2.608,73.370,0.011,0.341
