,Signature,W,pval,padj,,,,,
1,S1,0.230473114,0.818329125,0.906007245,,,,,
2,S2,-0.792497444,0.430921033,0.785797177,,,,,
3,S3,0.518066958,0.605942846,0.844021937,,,,,
4,S4,1.622032646,0.112022498,0.397830583,,,,,
5,S5,1.991664028,0.054256505,0.397830583,,,,,
6,S6,-0.450730138,0.653436339,0.844021937,,,,,
7,S7,0.053830529,0.957248169,0.982378217,,,,,
8,S8,-0.627045038,0.533344774,0.844021937,,,,,0.341449665
9,S9,-1,0.322904892,0.669960308,,,,,0.982378217
10,S10,-1,0.322904892,0.669960308,,,,,
11,S11,-0.577676392,0.565233694,0.844021937,,,,,
12,S12,2.022334271,0.050836365,0.397830583,,,,,
13,S13,-0.355801089,0.722950268,0.883034933,,,,,
14,S14,1.641287557,0.108512864,0.397830583,,,,,
15,S15,-1.322391013,0.190153727,0.491230462,,,,,
16,S16,0.027528106,0.978111127,0.982378217,,,,,
17,S17,0.332415922,0.740609944,0.883034933,,,,,
18,S18,-0.278626772,0.781273506,0.897017729,,,,,
19,S19,0.675233293,0.501789669,0.844021937,,,,,
20,S20,1.920470277,0.05931521,0.397830583,,,,,
21,S21,0.483861785,0.630157511,0.844021937,,,,,
22,S22,-1.537236494,0.128332446,0.397830583,,,,,
23,S23,1.564048035,0.123901989,0.397830583,,,,,
24,S24,-1.819939957,0.075066541,0.397830583,,,,,
25,S25,-1.335710673,0.188262636,0.491230462,,,,,
26,S26,-1.625257589,0.110739171,0.397830583,,,,,
27,S27,1,0.324174342,0.669960308,,,,,
28,S28,0.022161625,0.982378217,0.982378217,,,,,
29,S29,-0.841339868,0.402789738,0.780405117,,,,,
30,S30,-0.540948878,0.590125205,0.844021937,,,,,
31,unknown,2.608465646,0.011014505,0.341449665,,,,,
